date,home_team,away_team,lambda_home,lambda_away,p_home,p_draw,p_away,top_score,top1_p,top3,mkt_home,mkt_draw,mkt_away,home_score,away_score,outcome_idx
2026-06-11,Mexico,South Africa,2.53,0.56,0.799,0.143,0.058,2-0,0.15,2-0 (15%); 3-0 (12%); 1-0 (11%),0.687,0.209,0.104,2.0,0.0,0.0
2026-06-11,South Korea,Czech Republic,1.21,0.91,0.423,0.306,0.271,1-0,0.14,1-0 (14%); 1-1 (14%); 0-0 (13%),0.366,0.304,0.33,2.0,1.0,0.0
2026-06-12,Canada,Bosnia and Herzegovina,2.19,0.65,0.724,0.184,0.092,2-0,0.14,2-0 (14%); 1-0 (12%); 3-0 (10%),0.529,0.265,0.206,1.0,1.0,1.0
2026-06-12,United States,Paraguay,1.14,1.25,0.329,0.29,0.381,1-1,0.14,1-1 (14%); 0-1 (11%); 1-0 (10%),0.488,0.279,0.233,4.0,1.0,0.0
2026-06-13,Qatar,Switzerland,0.5,2.2,0.066,0.171,0.763,0-2,0.16,0-2 (16%); 0-1 (14%); 0-3 (12%),0.063,0.139,0.798,1.0,1.0,1.0
2026-06-13,Brazil,Morocco,1.24,0.89,0.437,0.304,0.259,1-0,0.14,1-0 (14%); 1-1 (14%); 0-0 (13%),0.577,0.245,0.178,1.0,1.0,1.0
2026-06-13,Haiti,Scotland,0.81,1.35,0.219,0.292,0.489,0-1,0.15,0-1 (15%); 1-1 (13%); 0-0 (12%),0.152,0.229,0.619,0.0,1.0,2.0
2026-06-13,Australia,Turkey,0.91,1.21,0.272,0.306,0.422,0-1,0.14,0-1 (14%); 1-1 (14%); 0-0 (13%),0.179,0.259,0.562,2.0,0.0,0.0
2026-06-14,Germany,Curaçao,2.2,0.5,0.763,0.171,0.066,2-0,0.16,2-0 (16%); 1-0 (14%); 3-0 (12%),0.936,0.047,0.018,7.0,1.0,0.0
2026-06-14,Ivory Coast,Ecuador,0.69,1.59,0.155,0.26,0.586,0-1,0.16,0-1 (16%); 0-2 (13%); 1-1 (12%),0.272,0.337,0.391,1.0,0.0,0.0
2026-06-14,Netherlands,Japan,1.08,1.02,0.36,0.312,0.327,1-1,0.14,1-1 (14%); 0-0 (13%); 1-0 (13%),0.467,0.272,0.261,2.0,2.0,1.0
2026-06-14,Sweden,Tunisia,1.13,0.97,0.386,0.311,0.303,1-1,0.14,1-1 (14%); 1-0 (13%); 0-0 (13%),0.502,0.28,0.218,5.0,1.0,0.0
2026-06-15,Belgium,Egypt,1.37,0.8,0.495,0.29,0.215,1-0,0.15,1-0 (15%); 1-1 (13%); 0-0 (12%),0.578,0.252,0.171,1.0,1.0,1.0
2026-06-15,Iran,New Zealand,1.43,0.77,0.522,0.282,0.195,1-0,0.15,1-0 (15%); 1-1 (13%); 0-0 (12%),0.514,0.28,0.206,2.0,2.0,1.0
2026-06-15,Spain,Cape Verde,3.16,0.35,0.905,0.076,0.019,3-0,0.16,3-0 (16%); 2-0 (15%); 4-0 (12%),0.89,0.076,0.034,0.0,0.0,1.0
2026-06-15,Saudi Arabia,Uruguay,0.6,1.82,0.112,0.225,0.663,0-1,0.16,0-1 (16%); 0-2 (15%); 1-1 (10%),0.114,0.216,0.67,1.0,1.0,1.0
2026-06-16,France,Senegal,1.58,0.7,0.581,0.262,0.158,1-0,0.16,1-0 (16%); 2-0 (13%); 1-1 (12%),0.661,0.217,0.122,3.0,1.0,0.0
2026-06-16,Iraq,Norway,0.67,1.64,0.144,0.252,0.604,0-1,0.16,0-1 (16%); 0-2 (13%); 1-1 (11%),0.065,0.139,0.796,1.0,4.0,2.0
2026-06-16,Argentina,Algeria,1.94,0.57,0.697,0.208,0.095,1-0,0.15,1-0 (15%); 2-0 (15%); 3-0 (10%),0.695,0.203,0.102,3.0,0.0,0.0
2026-06-16,Austria,Jordan,1.3,0.85,0.464,0.298,0.238,1-0,0.15,1-0 (15%); 1-1 (13%); 0-0 (12%),0.732,0.17,0.098,3.0,1.0,0.0
2026-06-17,Portugal,DR Congo,1.82,0.6,0.663,0.225,0.112,1-0,0.16,1-0 (16%); 2-0 (15%); 1-1 (10%),0.762,0.163,0.075,1.0,1.0,1.0
2026-06-17,Uzbekistan,Colombia,0.65,1.68,0.137,0.247,0.617,0-1,0.16,0-1 (16%); 0-2 (14%); 1-1 (11%),0.102,0.203,0.695,1.0,3.0,2.0
2026-06-17,England,Croatia,1.31,0.84,0.471,0.297,0.233,1-0,0.15,1-0 (15%); 1-1 (13%); 0-0 (12%),0.561,0.252,0.187,4.0,2.0,0.0
2026-06-17,Ghana,Panama,0.66,1.66,0.141,0.25,0.609,0-1,0.16,0-1 (16%); 0-2 (13%); 1-1 (11%),0.459,0.282,0.26,1.0,0.0,0.0
2026-06-18,Czech Republic,South Africa,1.3459496329346976,0.817297334446159,0.486,0.293,0.221,1-0,0.14866729878233592,1-0 (15%); 1-1 (13%); 0-0 (12%),0.515,0.267,0.218,,,
2026-06-18,Mexico,South Korea,1.6055485764565065,0.8832440708535293,0.538,0.261,0.201,1-0,0.12764349335119146,1-0 (13%); 1-1 (12%); 2-0 (11%),0.471,0.294,0.235,,,
2026-06-18,Switzerland,Bosnia and Herzegovina,1.7013218144115483,0.6465802283719002,0.624,0.243,0.133,1-0,0.1575633793169357,1-0 (16%); 2-0 (14%); 1-1 (11%),0.618,0.235,0.147,,,
2026-06-18,Canada,Qatar,2.3670253781000548,0.5991026854814696,0.766,0.162,0.073,2-0,0.144278886597791,2-0 (14%); 1-0 (12%); 3-0 (11%),0.755,0.167,0.078,,,
2026-06-19,Scotland,Morocco,0.8353474999851648,1.316866390712668,0.231,0.296,0.473,0-1,0.1469363932121144,0-1 (15%); 1-1 (13%); 0-0 (12%),0.183,0.265,0.551,,,
2026-06-19,Brazil,Haiti,2.0982307800248132,0.5242707607612666,0.739,0.185,0.076,2-0,0.15985954173175154,2-0 (16%); 1-0 (15%); 3-0 (11%),0.864,0.091,0.045,,,
2026-06-19,United States,Australia,1.1685458276321934,1.2135521150214454,0.344,0.29,0.366,1-1,0.1372376882154006,1-1 (14%); 0-1 (11%); 1-0 (10%),0.594,0.226,0.179,,,
2026-06-19,Turkey,Paraguay,1.1603034857288574,0.9480632100362187,0.4,0.309,0.291,1-1,0.13997744885240865,1-1 (14%); 1-0 (13%); 0-0 (13%),0.475,0.284,0.241,,,
2026-06-20,Germany,Ivory Coast,1.4114816967319326,0.7793519744841817,0.514,0.285,0.201,1-0,0.15195013507424807,1-0 (15%); 1-1 (13%); 0-0 (12%),0.618,0.216,0.166,,,
2026-06-20,Ecuador,Curaçao,2.1781087937416976,0.5050441238091657,0.758,0.174,0.068,2-0,0.16212524111037466,2-0 (16%); 1-0 (15%); 3-0 (12%),0.876,0.087,0.037,,,
2026-06-20,Netherlands,Sweden,1.4904779044520697,0.7380458603314298,0.546,0.274,0.179,1-0,0.1548365900004915,1-0 (15%); 1-1 (12%); 2-0 (12%),0.566,0.244,0.19,,,
2026-06-20,Tunisia,Japan,0.5787757710642591,1.9006342391865283,0.1,0.213,0.686,0-1,0.15484812063230716,0-1 (15%); 0-2 (15%); 1-1 (10%),0.137,0.232,0.631,,,
2026-06-21,Belgium,Iran,1.1586328228207055,0.9494302471237188,0.399,0.309,0.292,1-1,0.14001995607300757,1-1 (14%); 1-0 (13%); 0-0 (13%),0.671,0.207,0.122,,,
