bin,n,mean_actual,mean_lambda,residual,var_over_mean,p_ge5_actual,p_ge5_poisson,mid
"(-3.125, -2.875]",4.0,0.0,0.122,-0.122,,0.0,0.0,-3.0
"(-2.875, -2.625]",5.0,0.0,0.137,-0.137,,0.0,0.0,-2.75
"(-2.625, -2.375]",18.0,0.0,0.176,-0.176,,0.0,0.0,-2.5
"(-2.375, -2.125]",42.0,0.143,0.217,-0.074,0.857,0.0,0.0,-2.25
"(-2.125, -1.875]",96.0,0.156,0.257,-0.101,1.244,0.0,0.0,-2.0
"(-1.875, -1.625]",202.0,0.297,0.313,-0.016,0.97,0.0,0.0,-1.75
"(-1.625, -1.375]",394.0,0.261,0.374,-0.112,1.03,0.0,0.0001,-1.5
"(-1.375, -1.125]",719.0,0.438,0.45,-0.012,1.273,0.0014,0.0001,-1.25
"(-1.125, -0.875]",1563.0,0.533,0.544,-0.011,1.195,0.0026,0.0003,-1.0
"(-0.875, -0.625]",2968.0,0.652,0.655,-0.003,1.108,0.0013,0.0007,-0.75
"(-0.625, -0.375]",5007.0,0.804,0.789,0.015,1.128,0.0028,0.0015,-0.5
"(-0.375, -0.125]",6785.0,1.014,0.955,0.059,1.159,0.0072,0.0034,-0.25
"(-0.125, 0.125]",7668.0,1.239,1.155,0.085,1.398,0.019,0.0074,0.0
"(0.125, 0.375]",6785.0,1.532,1.401,0.131,1.486,0.0326,0.0157,0.25
"(0.375, 0.625]",5007.0,1.879,1.705,0.174,1.566,0.0627,0.0324,0.5
"(0.625, 0.875]",2968.0,2.215,2.07,0.145,1.589,0.0913,0.0628,0.75
"(0.875, 1.125]",1563.0,2.621,2.515,0.105,1.5,0.1427,0.1157,1.0
"(1.125, 1.375]",719.0,3.103,3.08,0.023,1.789,0.2086,0.2026,1.25
"(1.375, 1.625]",394.0,3.931,3.709,0.222,2.158,0.3249,0.3164,1.5
"(1.625, 1.875]",202.0,4.074,4.484,-0.41,2.389,0.3168,0.4604,1.75
"(1.875, 2.125]",96.0,4.615,5.495,-0.881,1.442,0.4271,0.63,2.0
"(2.125, 2.375]",42.0,5.167,6.597,-1.431,1.29,0.5952,0.769,2.25
"(2.375, 2.625]",18.0,4.556,8.179,-3.623,1.005,0.5,0.8955,2.5
"(2.625, 2.875]",5.0,7.2,10.56,-3.36,0.689,1.0,0.9699,2.75
"(2.875, 3.125]",4.0,7.5,11.77,-4.27,0.7,0.75,0.9874,3.0
