n_completed,exact,top3,top5,within1,dir,rps,mkt_rps,logloss,goals_actual,xg
24,2,7,9,12,11,0.2087,0.1719,3.2101,75,57.5
28,2,9,11,14,14,0.192,0.1635,3.1786,89,68.5
32,2,11,14,18,16,0.1931,0.1618,3.0738,96,78.7
36,2,11,15,19,19,0.1881,0.1619,3.0988,109,89.2
40,2,13,17,20,21,0.1835,0.1597,3.0702,121,99.9
44,3,15,20,23,25,0.1756,0.1531,3.0253,134,110.4
48,4,17,22,25,28,0.1742,0.1508,3.0143,141,121.3
54,4,18,24,28,32,0.1771,0.1512,3.0153,161,137.1
60,4,20,27,33,34,0.1792,0.1519,2.9797,177,152.4
72,7,24,33,40,41,0.1677,0.1397,3.0096,215,182.6
73,8,25,34,41,42,0.1673,0.1392,2.996,216,185.0
76,10,27,37,44,43,0.1664,0.1403,2.9621,223,192.0
79,10,28,40,47,46,0.1645,0.1403,2.9379,231,200.0
82,11,29,42,49,49,0.1625,0.1386,2.934,241,207.9
85,11,30,45,52,52,0.1615,0.1374,2.9141,249,215.4
88,12,32,47,54,54,0.1578,0.1348,2.9111,257,224.3
90,12,33,48,55,56,0.1564,0.1334,2.9011,261,229.4
92,12,33,48,56,57,0.1602,0.138,2.9133,268,234.4
94,13,34,49,57,59,0.1609,0.1399,2.919,274,239.4
95,13,35,50,58,60,0.1606,0.1393,2.9117,276,241.8
96,13,35,51,59,61,0.1599,0.1389,2.9059,279,244.3
98,13,35,52,60,63,0.1593,0.1387,2.9009,286,249.2
