xi,val_loglik_base,val_loglik_elo_sum
0.0,-1.3808410590236622,-1.382964882152018
0.0005,-1.3794763357328306,-1.380117371390648
0.001,-1.3790379765994258,-1.3793203182824807
0.0015,-1.3789917420685607,-1.3791383806682769
0.002,-1.3791009758579336,-1.379156507595623
0.0025,-1.3792516906453731,-1.37924496861794
0.003,-1.3793938633394962,-1.3793548779000313
0.0035,-1.3795104186675677,-1.3794672583278553
0.004,-1.3795993456759392,-1.3795752813271014
0.0045,-1.3796643761972807,-1.3796768499458352
0.005,-1.3797106403515518,-1.3797715286589933
0.0055,-1.3797429126958862,-1.3798594159519955
0.006,-1.379765072869415,-1.379940800518175
0.0065,-1.3797800717443738,-1.3800160788651672
0.007,-1.3797900714725666,-1.3800857347797693
0.0075,-1.3797966190945439,-1.38015032140749
0.008,-1.3798008022936428,-1.38021043688845
0.0085,-1.379803373854271,-1.3802666975803357
0.009,-1.3798048458563104,-1.3803197135996017
0.0095,-1.379805559016106,-1.380370069312873
0.01,-1.379805733013555,-1.3804183095045435
